Dreier, David	0	Congress|Congressional operations and organization
Cantor, Eric	0	Congress|Congressional operations and organization|Presidents and presidential powers
Quayle, Benjamin	0	Arizona|Commemorative events and holidays|Government operations and politics|State and local government operations|U.S. history
Gerlach, Jim	0	Employee benefits and pensions|Income tax deductions|Income tax deferral|Income tax exclusion|Taxation
Ryan, Tim	0	Commemorative events and holidays|Congressional tributes|Members of Congress|Ohio|Science, technology, communications|Senate|Space flight and exploration
Boswell, Leonard L.	0	Income tax rates|Members of Congress|Presidents and presidential powers|Taxation
Rohrabacher, Dana	0	Afghanistan|Asia|International affairs|Iran|Middle East|Pakistan|Sovereignty, recognition, national governance and status
Hanabusa, Colleen W.	0	Commemorative events and holidays|Congress|Congressional tributes|Hawaii|U.S. Capitol
Hoyer, Steny H.	0	Congress|Games and hobbies|Outdoor recreation|U.S. Capitol
Jones, Walter B., Jr.	0	Armed forces and national security|Congressional oversight|Congressional-executive branch relations|Constitution and constitutional amendments|Presidents and presidential powers|War and emergency powers
Meehan, Patrick	0	Commemorative events and holidays|Congress|Crime victims|Religion|U.S. Capitol|War crimes, genocide, crimes against humanity
Smith, Christopher H.	0	Asia|China|Human rights|International affairs|International law and treaties|North Korea|Refugees, asylum, displaced persons|United Nations
Lee, Barbara	0	Foreign aid and international relief|International affairs
Adams, Sandy	0	Armed forces and national security|Labor standards|Presidents and presidential powers|Property rights|War and emergency powers
Hochul, Kathleen C.	0	Armed forces and national security|Cemeteries and funerals|Congressional tributes|Military history|Military personnel and dependents|Monuments and memorials|Virginia
Ryan, Paul	0	Appropriations|Budget deficits and national debt|Budget process|Child safety and welfare|Defense spending|Disaster relief and insurance|Economics and public finance|Education programs funding|Executive agency funding and structure|Floods and storm protection|Government trust funds|Health care costs and insurance|Health care coverage and access|Health facilities and institutions|Health programs administration and funding|Income tax deductions|Income tax rates|Legislative rules and procedure|Medicare|Military operations and strategy|Roads and highways|Rural conditions and development|Separation, divorce, custody, support|Small business|Social security and elderly assistance|State and local finance|Terrorism|Trade agreements and negotiations|Transfer and inheritance taxes|Transportation programs funding|Veterans' medical care
Garrett, Scott	0	Administrative law and regulatory procedures|Appropriations|Budget deficits and national debt|Budget process|Comprehensive health care|Economic performance and conditions|Economics and public finance|Government employee pay, benefits, personnel management|Health care costs and insurance|Health care coverage and access|House of Representatives|Legislative rules and procedure|Medicaid|Medicare|Poverty and welfare assistance|State and local finance
McCaul, Michael T.	0	Computer security and identity theft|Human rights|International affairs|International organizations and cooperation|Internet and video services|United Nations
Buerkle, Ann Marie	0	Arab-Israeli relations|Arms control and nonproliferation|Commemorative events and holidays|Congressional tributes|Diplomacy, foreign officials, Americans abroad|Homeland security|International affairs|Iran|Israel|Middle East|Military assistance, sales, and agreements|Nuclear weapons|Sovereignty, recognition, national governance and status
Paulsen, Erik	0	Life, casualty, property insurance|Social work, volunteer service, charitable organizations|Tax-exempt organizations|Taxation
Denham, Jeff	0	Commemorative events and holidays|Congress|Law enforcement officers|U.S. Capitol
Norton, Eleanor Holmes	0	Congress|Disability and paralysis|Olympic games|Outdoor recreation|U.S. Capitol
Conyers, John, Jr.	0	Employment and training programs|Homelessness and emergency shelter|Housing and community development|Housing and community development funding|Housing supply and affordability|Low- and moderate-income housing
Weiner, Anthony D.	0	Armed forces and national security|Cemeteries and funerals|Monuments and memorials|Religion|Virginia
Markey, Edward J.	0	Aging|Health|Health care quality|Health programs administration and funding|Health promotion and preventive care|Medical research|Medical tests and diagnostic methods|Neurological disorders|Public-private cooperation
Rush, Bobby L.	0	Africa|Aquatic ecology|Business ethics|Civil actions and liability|Criminal investigation, prosecution, interrogation|Economic development|Environmental assessment, monitoring, research|Environmental health|Environmental technology|Foreign aid and international relief|Government ethics and transparency, public corruption|Government studies and investigations|Human rights|International affairs|International organizations and cooperation|Lakes and rivers|Marine and coastal resources, fisheries|Marine pollution|Nigeria|Oil and gas|Rule of law and government transparency|United Nations|Water quality|Water use and supply|Wetlands|Youth employment and child labor
McCaul, Michael T.	0	Asia|China|Diplomacy, foreign officials, Americans abroad|International affairs|International organizations and cooperation|Sovereignty, recognition, national governance and status|Taiwan|United Nations
Franks, Trent	0	Child health|HIV/AIDS|Health|Health promotion and preventive care|Medical tests and diagnostic methods|Sex and reproductive health|Women's health|World health
Hultgren, Randy	0	Asia|China|Competitiveness, trade promotion, trade deficits|Russia|Science, technology, communications|Space flight and exploration|Spacecraft and satellites
Larsen, Rick	0	Commemorative events and holidays|Congress|Congressional tributes|Members of Congress|Senate|Washington State
Schweikert, David	0	Art, artists, authorship|Arts, culture, religion|Commemorative events and holidays|Postal service
Bono Mack, Mary	0	International affairs|International organizations and cooperation|Internet and video services
Brown, Corrine	0	Congress|Congressional tributes|Military history|Military personnel and dependents|North Carolina|Racial and ethnic relations|U.S. Capitol
Miller, Candice S.	0	Armed forces and national security|Military command and structure|Military operations and strategy|National Guard and reserves
Forbes, J. Randy	0	Educational facilities and institutions|Government buildings, facilities, and property|Law|National symbols|Religion
